gardiner_code,unicode_cp,unicode,hieroglyphica_code,jsesh_code,category,description,function,core
HJ E176,13B39,U+13B39,E176,E176,E-23-032,"A bovid (bull), legs bound together, tail downwards.",Classifier (to fall),C
HJ E174C,13B3A,U+13B3A,E174C,E174C,E-23-033,,,
E315,13B3B,U+13B3B,,,E-23-035,"A butchered bovid without head or legs, tail coiling upwards, with a knife with a triangular blade and a straight handle (T30A) angled at the top, blade backwards, and a knife angled at the bottom, blade backwards.",Classifier slaughter?,C
HJ E165,13B3C,U+13B3C,E165,E165,E-23-036,"A bull, standing, head lowered, tail down, left front leg bent, with a line running from the left front leg hoof over the head of the bull.",Classifier prepare to attack,C
HJ E199A,13B3D,U+13B3D,E199A,E199A,E-23-038,,,
HJ E201,13B3E,U+13B3E,E201,E201,E-23-040,"A pustule or gland, or a packet of mummy bandages (Aa2), in front of a bovid (bull), standing (E1); on top of a standard used for the carrying of religious symbols (R12).",Logogram (11th nome of Lower Egypt),C
E207A,13B3F,U+13B3F,,,E-23-042,"The hill country over the edge of the cultivated areas (N25) in front of a bovid (bull), standing (E1), on top of a standard used for the carrying of religious symbols (R12).",Logogram (6th nome of Lower Egypt),C
HJ E207,13B40,U+13B40,E207,E207,E-23-043,"The hill country over the edge of the cultivated areas (N25) in front of a bovid (bull), standing (E1), on top of a standard used for the carrying of religious symbols (R12) on top of a parcel of land with irrigation ditches (N24).",Logogram (6th nome of Lower Egypt),C
HJ E209,13B41,U+13B41,E209,E209,E-23-044,"A cover of a quiver, with a vertical loop on top (Aa18A), in front of a bovid (bull), standing (E1), on top of a standard used for the carrying of religious symbols (R12).",Logogram (Cynopolis nome),C
HJ E210,13B42,U+13B42,E210,E210,E-23-045,"The head of a human man, seen in profile, with a short straight beard, in front of a bovid (bull), standing (E1), on top of a standard used for the carrying of religious symbols (R12).",Logogram (12th nome of Lower Egypt),C
HJ E173,13B43,U+13B43,E173,E173,E-23-054,"A bovid (bull), standing (E1), on top of a sledge (U15).",Classifier divinity,C
HJ E092A,13B44,U+13B44,E92A,E92A,E-23-056,"A cow, looking backwards.",Phonemogram (in ꜣms-ꞽb (to rejoice)),C
HJ E094A,13B45,U+13B45,E94A,E94A,E-23-063,"A bovid (cow), lying down, legs folded beneath the body, tail down, with the head and front legs of a calf protruding from the cow.",Phonemogram,C
HJ E101,13B46,U+13B46,E101,E101,E-23-065,"A cult image of a bovid (cow), lying down.",Classifier cow divinity,C
HJ E005B,13B47,U+13B47,E5B,E5B,E-23-068,"A bovid (cow), standing, head facing backwards, looking over its back, with a calf below the cow, suckling.",Phonemogram (in ꜣms-ꞽb),C
HJ E094,13B48,U+13B48,E94,E94,E-23-069,"A bovid (cow), standing, tail raised with the head and front legs of a calf protruding from the cow.",Phonemogram,C
HJ E095,13B49,U+13B49,E95,E95,E-23-073,"A bovid, standing, tail down, with the sun disk (N5) between the horns.",Logogram (lady),C
E095C,13B4A,U+13B4A,,,E-23-076,"A bovid, standing, tail down, with N6 (The sun, encircled by a cobra (Naja haje), standing up, with expanded hood (uraeus)), between the horns, with the uraeus occurring in front of the horns. ",Logogram (Re and lord (in sꜣ-rꜥ nb ḫꜥ.w)),C
HJ E097,13B4B,U+13B4B,E97,E97,E-23-079,,,
HJ E255,13B4C,U+13B4C,E255,E255,E-23-081,"A bovid (bull?), standing, with a headdress consisting of a base with multiple plumes coming from it between the horns.",Logogram (cattle),C
E280A,13B4D,U+13B4D,,,E-23-083,"A bovid, standing, tail down, with the double crown (S5) between the horns.","Logogram (king of Upper Egypt and Lower Egypt, lord)",C
HJ E100A,13B4E,U+13B4E,E100A,E100A,E-23-084,"A bovid (cow), lying down, legs folded beneath the body, with a flagellum (S45) on its back.",Classifier cow divinity,C
E102D,13B4F,U+13B4F,,,E-23-087,"A bovid, lying down, legs folded beneath the body, with N6 (The sun, encircled by a cobra (Naja haje), standing up, with expanded hood (uraeus)), between the horns, with the uraeus occurring in front of the horns. ",Logogram (Re and lord (in sꜣ-rꜥ nb ḫꜥ.w)),C
HJ E101A,13B50,U+13B50,E101A,E101A,E-23-089,"A cult image of a bovid (cow), lying down, with a flagellum (S45) on its back.",Classifier cow divinity,C
HJ E102A,13B51,U+13B51,E102A,E102A,E-23-090,"A cult image of a bovid (cow), lying down, with a sun disk (N5) between the horns, with a flagellum (S45) on its back.",Classifier cow divinity,C
E004B,13B52,U+13B52,E4,,E-23-092,,,
E099A,13B53,U+13B53,,,E-23-094,"A bovid (bull), standing (E1), on top of a standard used for the carrying of religious symbols (R12).",Phonemogram (in km-wr),C
HJ E290,13B54,U+13B54,E290,E290,E-23-095,"A piece of crocodile skin with horizontal spines, or tail of a crocodile (I6), in front of a bovid (bull), standing (E1); on top of a standard used for the carrying of religious symbols (R12).",Logogram (10th nome of Lower Egypt),C
HJ E291,13B55,U+13B55,E291,E291,E-23-096,,,
HJ E254,13B56,U+13B56,E254,E254,E-23-097,"A newborn bubalis antelope, lying down, legs folded beneath the body, long tail downwards (E9), in front of a bovid (bull), standing (E1); on top of a standard used for the carrying of religious symbols (R12).",Logogram (12th nome of Lower Egypt),C
HJ E001A,13B57,U+13B57,E1A,E1A,E-25-002,"A bovid (bull), standing, without horns.",Classifier (bull),C
E268A,13B58,U+13B58,,,E-25-008,"A bovid (bull), without horns, legs bound together, tail downwards.","Logogram (bull, beef)",C
HJ E083,13B59,U+13B59,E83,E83,E-26-001,Some type of mouse-like animal.,classifier divinity (Ash-spitter),C
HJ E178,13B5A,U+13B5A,E178,E178,E-26-002,"A mythological animal with the head of a crocodile, the foreparts of a lion, and the hindquarters of a hippopotamus.",Classifier Ammet,C
HJ E131,13B5B,U+13B5B,E131,E131,E-26-003,A rhinoceros.,Classifier rhinoceros,C
F053C,13B5C,U+13B5C,F53,F53,F-01-002,"The head of a donkey/ass, with the ears in a v shape.",Phonemogram,C
F053D,13B5D,U+13B5D,,,F-01-004,"The head of a donkey/ass, with the ears angled backwards.",Phonemogram,C
HJ F055,13B5E,U+13B5E,F55,F55,F-01-005,,,
HJ F054,13B5F,U+13B5F,F54,F54,F-01-007,"The forepart of a donkey, ears in a V-shape, lower leg bent backwards.",Phonemogram,C
HJ F007B,13B60,U+13B60,F7B,F7B,F-02-001,"The head of a ram, without horns or forward curving horns.","Logogram (worth, dignity, renown)",C
F007D,13B61,U+13B61,,,F-02-002,"The head of a ram, without horns or forward curving horns, with the neck curving downwards.",Classifier ram,C
HJ F007C,13B62,U+13B62,F7C,F7C,F-02-003,"The head of a ram (Ovis longipes palaeo-aegyptiacus), without beard.","Classifier worth, dignity, renown",C
HJ F007A,13B63,U+13B63,F7A,F7A,F-02-006,"The head of a ram (Ovis longipes palaeo-aegyptiacus), with beard, with a sun disk (N5) on top of the horns.","Classifier worth, dignity, renown",C
HJ F164,13B64,U+13B64,F164,F164,F-02-007,"The head of a ram (Ovis longipes palaeo-aegyptiacus), with beard, with two feather-like plumes (S78) on top of the horns.","Logogram (worth, dignity, renown)",C
F164A,13B65,U+13B65,,,F-02-008,"The head of a ram (Ovis longipes palaeo-aegyptiacus), with beard, with the Atef crown (S8A) on top of the horns.",Classifier (Atef crown),C
HJ F170,13B66,U+13B66,F170,F170,F-02-010,"The forepart of a ram (Ovis longipes palaeo-aegyptiacus), with beard, with a second head looking backwards.","Logogram (worth, dignity, renown)",C
HJ F008A,13B67,U+13B67,F8A,F8A,F-02-011,"The forepart of a lion with the head of a ram (Ovis longipes palaeo-aegyptiacus), with beard.","Logogram (worth, dignity, renown)",C
HJ F008B,13B68,U+13B68,F8B,F8B,F-02-012,"The forepart of a ram (Ovis longipes palaeo-aegyptiacus), with beard, with a uraeus on top of the horns.","Classifier worth, dignity, renown",C
HJ F058,13B69,U+13B69,F58,F58,F-02-017,"Four heads of rams (Ovis longipes palaeo-aegyptiacus) with necks, connected two-by-two to each other, forming a cross-shape.",Logogram (the eight primordial gods),C
F001D,13B6A,U+13B6A,,,F-03-003,"The head of a bovid (ox) with outwards curving horns, with a short vertical stroke under the chin (beard?).",Logogram (bull),C
F001C,13B6B,U+13B6B,F1A,F1A,F-03-005,"A head of a bovid (ox), as seen from the front.",Phonemogram,C
HJ F002A,13B6C,U+13B6C,F2A,F2A,F-03-006,"The head of a bovid (bull), angled forward as if to attack with a cobra (Naja haje), standing up, with expanded hood (uraeus), between its horns.",Classifier rage/aggression,C
HJ F061,13B6D,U+13B6D,F61,F61,F-03-007,"The head of a bovid (ox), with a forward, downward line coming from the mouth.",Phonemogram,C
F061A,13B6E,U+13B6E,,,F-03-008,"The head of a bovid (ox), with a rope around the nose, angling downwards and backwards.",Logogram (bull),C
HJ F002B,13B6F,U+13B6F,F2B,F2B,F-03-009,The forepart of a bovid (ox).,Classifier,C
HJ F116,13B70,U+13B70,F116,F116,F-03-011,"The head of a bovid (ox), connected to a foreleg of a bovid (ox), hoof orientated away from the reading direction (F24).",Classifier Ursa Major constellation,C
F063C,13B71,U+13B71,,,F-03-015,"The head of a bovid (cow), without horns, with an ear, with a short vertical line under the chin (beard?).",Logogram (bull),C
HJ F063A,13B72,U+13B72,F63A,F63A,F-03-016,"The head of a bovid (cow), without horns, without an ear.",Classifier nose,C
F063B,13B73,U+13B73,,,F-03-017,"Two heads of a bovid (cow), without horns, without an ear, facing each other.",Classifier kissing,C
HJ E177,13B74,U+13B74,E177,E177,F-03-019,"The foreparts of a bovid, connected at the back, standing.",Classifier double doors,C
E177B,13B75,U+13B75,,,F-03-021,"Two foreparts of a bovid, connected at the back, lying down, legs extended forwards, horizontally.",Logogram (double doors),C
HJ F067A,13B76,U+13B76,F67A,F67A,F-04-001,"The head of a jackal, with a loop of rope around the neck, ties at the front.",Phonemogram,C
F067M,13B77,U+13B77,,,F-04-005,"The head of a jackal, looking backwards, with the neck curving towards the back, over a horizontal line.",Phonemogram,C
HJ F067B,13B78,U+13B78,F67B,F67B,F-04-006,"The head of a jackal, neck curving forwards, with line of string around the neck, with a loop above ties at the back.",Phonemogram,C
HJ F067D,13B79,U+13B79,F67D,F67D,F-04-008,"The head of a jackal, looking backwards, with the neck curving towards the back, written over a band of string or fabric (V12).",Phonemogram,C
HJ F068A,13B7A,U+13B7A,F68A,F68A,F-04-010,,,
F068C,13B7B,U+13B7B,,,F-04-011,"A mace (T3) written horizontally over the neck of a head of a jackal, looking backwards, with the neck curving towards the back, with the mace head towards the back.",Phonemogram,C
HJ F068B,13B7C,U+13B7C,F68B,F68B,F-04-012,"A mace (T3), written over the neck of a head of a jackal, neck curving forwards, mace head towards the back.",Phonemogram,C
HJ F069,13B7D,U+13B7D,F69,F69,F-04-013,The head of a jackal.,Logogram (jackal),C
HJ F071,13B7E,U+13B7E,F71,F71,F-04-014,,,
HJ F070,13B7F,U+13B7F,F70,F70,F-04-015,"The head of a jackal on a cup-like base, with two arms, raised in front, hand palms forwards.",Logogram (Ennead),C
HJ F070C,13B80,U+13B80,F70C,F70C,F-04-019,,,
HJ F012A,13B81,U+13B81,F12A,F12A,F-05-002,"The head and neck of a canine animal, with a forked end to the neck.",Phonemogram,C
HJ F011A,13B82,U+13B82,F11A,F11A,F-05-005,"The head and neck of a long-necked horned animal, with a forked end to the neck.",Logogram (throat),C
F011B,13B83,U+13B83,,,F-05-006,"The head and neck of a long-necked horned animal, with a horizontal line written over the neck, near the bottom.",Logogram (throat),C
HJ F066,13B84,U+13B84,F66,F66,F-05-007,,,
F012B,13B85,U+13B85,,,F-05-010,"The head and neck of a canine animal, on top of a stick.",Phonemogram,C
HJ F078,13B86,U+13B86,F78,F78,F-05-032,"The head of a canine, on top of legs in a walking posture, feet orientated towards the reading direction (D54).",Phonemogram,C
HJ F081,13B87,U+13B87,F81,F81,F-06-001,The head of an antelope.,Logogram (gazelle),C
HJ F082,13B88,U+13B88,F82,F82,F-06-002,"A mouth (D21), written over the neck of the head of an antelope (F81).",Phonemogram,C
HJ F083,13B89,U+13B89,F83,F83,F-06-003,"A representation of two ribs, written parallel (Aa15), written over the neck of the head of an antelope (F81).",Phonemogram,C
HJ F085,13B8A,U+13B8A,F85,F85,F-06-006,The head of an oryx.,Logogram (antilope),C
HJ F086,13B8B,U+13B8B,F86,F86,F-06-010,"A mouth (D21), written over the neck of the head of a bubalis antelope.",Phonemogram,C
HJ F088,13B8C,U+13B8C,F88,F88,F-06-012,The head of a Nubian ibex (Capra nubiana).,Logogram (ibex),C
HJ F089,13B8D,U+13B8D,F89,F89,F-06-014,,,
HJ F084,13B8E,U+13B8E,F84,F84,F-06-015,The head of a gazelle.,Phonemogram,C
HJ F003A,13B8F,U+13B8F,F3A,F3A,F-07-004,A simplified head of a hippopotamus.,Phonemogram,C
HJ F154,13B90,U+13B90,F154,F154,F-08-002,Head of a lion/lioness,Phonemogram,C
HJ F092,13B91,U+13B91,F92,F92,F-08-010,"The forepart of a lion, lying down (F4), wearing a headdress consisting of two feathers on top of the horns of a ram, with a cobra (Naja haje), standing up, with expanded hood (uraeus), with sun disks its head on either side of the feathers, orientated outwards (S74).","Logogram (to distinguish) and (beginning, front)",C
HJ F004A,13B92,U+13B92,F4A,F4A,F-08-011,"The forepart of a lion, standing.","Logogram (beginning, front)",C
HJ E128,13B93,U+13B93,E128,E128,F-08-014,"Two foreparts of lions, lying down, connected back-to-back.",Classifier Haker festival,C
HJ E129,13B94,U+13B94,E129,E129,F-08-015,"Two foreparts of lions, lying down, connected back-to-back, with a sun disk (N5) on their back.",Logogram (Khonsu),C
HJ F090,13B95,U+13B95,F90,F90,F-08-016,The head of a leopard with a uraeus on top of it.,Classifier strength,C
HJ F093B,13B96,U+13B96,F93B,F93B,F-08-017,,,
HJ F097,13B97,U+13B97,F97,F97,F-09-001,"A sledge with the forepart of a donkey/ass, with one leg.",Phonemogram,C
F097C,13B98,U+13B98,,,F-09-002,"A sledge with the forepart of a donkey/ass, with one leg and only one ear, angled forwards.",Phonemogram,C
HJ F098,13B99,U+13B99,F98,F98,F-09-003,,,
HJ F098A,13B9A,U+13B9A,F98A,F98A,F-09-004,"A sledge with the forepart of a horse, with one leg, with a rectangular block on the sledge.",Phonemogram,C
HJ F098D,13B9B,U+13B9B,F98D,F98D,F-09-005,"A sledge with the forepart of a horse, with two legs.",Phonemogram,C
HJ F097B,13B9C,U+13B9C,F97B,F97B,F-09-006,"A sledge with the forepart of a donkey/ass, with two legs, one raised, one bent backwards.",Phonemogram,C
HJ F098B,13B9D,U+13B9D,F98B,F98B,F-09-009,A sledge with the head of a horse.,Phonemogram,C
F098E,13B9E,U+13B9E,F98E,,F-09-010,,,
F098F,13B9F,U+13B9F,,,F-09-012,"A sledge with the head of a donkey/ass, with only one ear, angled forwards.",Phonemogram,C
HJ F098C,13BA0,U+13BA0,F98C,F98C,F-09-014,"A sledge with the head of a horse, with the vertical lines of the sledge extending beyond the top line.",Phono-repeater,C
HJ F100,13BA1,U+13BA1,F100,F100,F-10-001,The head of an elephant.,Phonemogram,C
HJ F080,13BA2,U+13BA2,F80,F80,F-10-002,Head of a hyena.,Classifier hyena,C
F003B,13BA3,U+13BA3,,,F-10-003,The head of an animal with the ears backwards.,Logogram (rage),C
HJ F173,13BA4,U+13BA4,F173,F173,F-11-007,"A palm branch, stripped of leaves and notched with a round notch (M4), written within the horns of a bovid (F13), on top of an alabaster basin with a diamond shaped inner marking (W3).",Logogram (New Year's Day),C
HJ F014A,13BA5,U+13BA5,F14A,F14A,F-11-009,"A palm branch, stripped of leaves, with multiple sharp notches (M4A), written within the horns of a bovid (F13). ",Logogram (New Year's Day),C
HJ F102,13BA6,U+13BA6,F102,F102,F-11-011,"A large sun disk (N5), written within the horns of a bovid (F13). ",Phonemogram (commonly in wp-rnp.t),C
HJ O044A,13BA7,U+13BA7,O44A,O44A,F-11-022,,,
HJ F177,13BA8,U+13BA8,F177,F177,F-11-035,,,
F190,13BA9,U+13BA9,,,F-11-037,"The horns of a bovid (ox), upside-down, enclosing a fire-drill in a piece of wood (U28).",Logogram (the one who awakes whole),C
HJ F107,13BAA,U+13BAA,F107,F107,F-12-001,The horns of a goat.,Phonemogram,C
HJ F107A,13BAB,U+13BAB,F107A,F107A,F-12-002,"The horns of a goat, on a base resembling a half round loaf of bread (X1).",Phonemogram,C
HJ F018B,13BAC,U+13BAC,F18B,F18B,F-14-004,,,
HJ F018A,13BAD,U+13BAD,F18A,F18A,F-14-005,,,
F187,13BAE,U+13BAE,,,F-14-006,"A tusk, with vertical lines over the tusk.",Logogram (to be true),C
HJ F112,13BAF,U+13BAF,F112,F112,F-14-008,,,
HJ F121,13BB0,U+13BB0,F121,F121,F-14-009,,,
HJ F122,13BB1,U+13BB1,F122,F122,F-14-010,,,
HJ F019B,13BB2,U+13BB2,F19B,F19B,F-15-002,A lower jawbone of an animal with pointed teeth.,Classifier jaw,C
HJ F020B,13BB3,U+13BB3,F20B,F20B,F-16-003,"A tongue, with the stroke at the back pointing upwards.",Phonemogram,C
F020D,13BB4,U+13BB4,,,F-16-005,"A tongue, without a stroke at the back.",Phonemogram,C
HJ F020A,13BB5,U+13BB5,F20A,F20A,F-16-009,A wide tongue.,Phonemogram,C
F021F,13BB6,U+13BB6,F21A,F21A,F-17-006,"The ear of a bovid (ox), with internal detail.","Logogram to hear, to listen",C
HJ F178,13BB7,U+13BB7,F178,F178,F-18-002,"The hindquarters of a seated lion or leopard, on top of a standard used for carrying religious symbols (R12).",Logogram (magic),C
HJ F025A,13BB8,U+13BB8,F25A,F25A,F-19-001,"The leg and hoof of a bovid (ox), bent at the top.",Phonemogram,C
F114B,13BB9,U+13BB9,,,F-19-005,"The leg and hoof of a bovid (ox), foreleg nearly horizontal, thigh muscle widened.",Classifier thigh,C
HJ F115,13BBA,U+13BBA,F115,F115,F-19-011,,,
HJ F119,13BBB,U+13BBB,F119,F119,F-19-012,The thigh of a bovid (ox).,,
HJ F114,13BBC,U+13BBC,F114,F114,F-19-017,"The leg and hoof of a bovid (ox), bent at the ankle.",Phonemogram,C
F025C,13BBD,U+13BBD,,,F-19-018,"The leg and hoof of a bovid (ox), with a cross (Z9) written above it.",Logogram (to repeat),C
HJ F118,13BBE,U+13BBE,F118,F118,F-19-019,The paw and foreleg of a lion.,Phonemogram,C
F025D,13BBF,U+13BBF,,,F-19-020,"The leg of a chair or table, resembling the paw and foreleg of a lion.",Phonemogram,C
F118E,13BC0,U+13BC0,,,F-19-023,A schematic representation of a lion's paw.,Phonemogram,C
HJ F118B,13BC1,U+13BC1,F118B,F118B,F-19-024,,,
HJ F118C,13BC2,U+13BC2,F118C,F118C,F-19-025,"A lion's paw and foreleg, horizontally.",Phonemogram,C
HJ F118A,13BC3,U+13BC3,F118A,F118A,F-19-026,A lion's paw.,Phonemogram,C
HJ F158A,13BC4,U+13BC4,F158A,F158A,F-19-028,"The thigh of a bovid (ox), on top of a standard used for the carrying of religious symbols (R12).",Logogram (Letopolis),C
HJ F124,13BC5,U+13BC5,F124,F124,F-20-002,"A gray heron (Ardea cinerea) (G31), on top of the skin of a goat (F26).",Phonemogram,C
F124B,13BC6,U+13BC6,,,F-20-004,"A human headed bird, with a flagellum (S45) on its shoulder (G53C), on top of the skin of a goat (F26).",Phonemogram,C
HJ F027A,13BC7,U+13BC7,F27A,F27A,F-20-007,Three triangles of skin with a tail.,Classifier animal,C
HJ F027B,13BC8,U+13BC8,F27B,F27B,F-20-008,"The skin of a cow, with the top of the skin a lot wider than the bottom, with the tail curved backwards.",Phonemogram,C
F027C,13BC9,U+13BC9,,,F-20-010,"The skin of a cow, with downward ties at the sides, with the tail angled forwards.",Classifier animal,C
HJ F125,13BCA,U+13BCA,F125,F125,F-20-013,The skin of a leopard.,Classifier leopard skin,C
HJ F123,13BCB,U+13BCB,F123,F123,F-20-014,A hoof.,Classifier hoof,C
HJ F029C,13BCC,U+13BCC,F29C,F29C,F-20-017,"The skin of a cow, with the tail hanging straight down, about to be pierced by an arrow (T11A).",Phonemogram,C
F029D,13BCD,U+13BCD,,,F-20-019,"The skin of a cow, with the tail hanging straight down, pierced by an arrow with rectangular fletching (T11A).",Phonemogram,C
HJ M223,13BCE,U+13BCE,M223,M223,F-20-027,"The body of a bird with the head replaced with a flower and stem, the stem curling backwards around a flower and long stem in a vase.",Phonemogram,C
HJ F127,13BCF,U+13BCF,F127,F127,F-20-029,"The skin of a goat, wrapped around a pole.",Phonemogram,C
HJ F030A,13BD0,U+13BD0,F30A,F30A,F-20-032,A water skin without ties at the opening.,Phonemogram,C
HJ F030B,13BD1,U+13BD1,F30B,F30B,F-20-033,"A water skin without ties at the opening, and a loop at the back.",Phonemogram,C
F030C,13BD2,U+13BD2,,,F-20-034,A water skin with a carrying strap.,"Logogram (skin, water skin)",C
F031B,13BD3,U+13BD3,,,F-20-040,"A simplified representation of three skins of foxes, tied together at the top.",Phonemogram,C
HJ F128,13BD4,U+13BD4,F128,F128,F-21-001,"The udder of a cow, seen from the side.",Classifier back/end,C
F032A,13BD5,U+13BD5,,,F-21-004,"The udder and tail of an animal, seen from below, represented as a mace or spindle-like object.",Phonemogram,C
HJ F033B,13BD6,U+13BD6,F33B,F33B,F-22-002,A simplified form of the tail of an animal.,Phono-repeater,C
HJ F131,13BD7,U+13BD7,F131,F131,F-23-005,"A heart (F34), written inside a circle/oval.",Phonemogram,C
HJ F132,13BD8,U+13BD8,F132,F132,F-23-007,A heart with downward hanging loops on either side.,Phonemogram,C
HJ F132C,13BD9,U+13BD9,F132C,F132C,F-23-009,,,
HJ F132B,13BDA,U+13BDA,F132B,F132B,F-23-012,"An oval, enclosed by a band which curves outwards at the ends.",Phonemogram,C
HJ F131B,13BDB,U+13BDB,F131B,F131B,F-23-013,"A heart (F34), written inside a brazier (Q7E).",Phonemogram,C
HJ F132A,13BDC,U+13BDC,F132A,F132A,F-23-014,"A heart, with two downward hanging bands coming from the top.",Phonemogram,C
F035B,13BDD,U+13BDD,,,F-24-001,"A windpipe and heart, with a double horizontal stroke at the top.",Phonemogram,C
HJ F035A,13BDE,U+13BDE,F35A,F35A,F-24-005,"A windpipe and heart, without a horizontal stroke at the top.",Phonemogram,C
F036D,13BDF,U+13BDF,,,F-24-007,"A windpipe and lungs, with a broad horizontal bar on top.",Phonemogram,C
HJ R026A,13BE0,U+13BE0,R26A,R26A,F-24-023,"A windpipe and lungs (F36), with a flower written under the horizontal bar, on each side, with the stems crossing over the windpipe.",Phonemogram,C
R026D,13BE1,U+13BE1,R26,R26,F-24-024,"A windpipe and lungs (F36), with a wide cup on each side of the lungs, from which two flowers, simple buds on the left, flowering buds on the right, one vertical, the other crossing the windpipe, come to angle downwards on top of the vertical flower on the other side.",Phonemogram,C
HJ R026B,13BE2,U+13BE2,R26B,R26B,F-24-026,"A windpipe and lungs (F36), with a stem of papyrus with a flowering bud (M127) left of the windpipe and a stem of papyrus with a bud (M13) right of the windpipe, both beneath the horizontal bar.",Logogram (who unites the two lands),C
HJ F172,13BE3,U+13BE3,F172,F172,F-25-001,"A vertebra with a tall spine on top, seen lengthwise.",Classifier (backbone),C
F038E,13BE4,U+13BE4,,,F-25-003,"A piece of spine with four vertebrae, angling forwards.","Classifier back, backbone",C
HJ F038B,13BE5,U+13BE5,F38B,F38B,F-25-004,"A piece of spine with four vertebrae, angling forwards, with a horizontal line over the spines. ","Classifier back, backbone",C
HJ F037C,13BE6,U+13BE6,F37C,F37C,F-25-007,"A spine with three ribs, connected to each other.",Classifier cutting/slaughter,
HJ F037M,13BE7,U+13BE7,F37M,F37M,F-25-010,"A spine with four ribs, written at an angle, with a circle at either end of the spine.",Phono-repeater,C
F037P,13BE8,U+13BE8,,,F-25-012,A spine with three ribs.,Classifier cutting,C
HJ F037F,13BE9,U+13BE9,F37F,F37F,F-25-020,"A spine with five ribs, written at an angle.","Classifier shreds, pieces",C
F037Q,13BEA,U+13BEA,,,F-25-023,"A spine with six ribs, written at an angle.",Phono-repeater,C
HJ F037L,13BEB,U+13BEB,F37L,F37L,F-25-027,"A spine with four ribs, connected to each other.",Phonemogram,
F039A,13BEC,U+13BEC,,F39A,F-25-035,"A spine, with the spinal cord hanging out at the backside, with three blocks at the bottom.",Phonemogram,C
HJ F040A,13BED,U+13BED,F40A,F40A,F-25-044,,,
HJ F040E,13BEE,U+13BEE,F40E,F40E,F-25-049,"A spine with the spinal cord hanging out at either side, the vertebrae represented as a rectangle.","Logogram (to be long, to stretch out)",C
HJ F040B,13BEF,U+13BEF,F40B,F40B,F-25-053,"A spine, with the spinal cord hanging out at either side, from the middle of the vertebrae.","Logogram (to be long, to stretch out)",C
HJ F041C,13BF0,U+13BF0,F41C,F41C,F-26-003,"A stack of ribs, on top of an upside-down cone.",Classifier rib (offering),C
HJ F041B,13BF1,U+13BF1,F41B,F41B,F-26-004,"A stack of ribs, written over an upside-down cone.","Logogram (slaughter, evil)",C
HJ F041A,13BF2,U+13BF2,F41A,F41A,F-26-005,"A stack of ribs, written behind an upside-down cone.","Logogram (slaughter, evil)",C
HJ F042B,13BF3,U+13BF3,F42B,F42B,F-26-008,A stack of ribs.,Classifier rib (offering),C
F043A,13BF4,U+13BF4,,,F-26-011,A vertebra.,,C
HJ AA034,13BF5,U+13BF5,Aa34,Aa34,F-26-015,"A representation of two ribs, written parallel (Aa15), written on top of legs in a walking posture, feet orientated towards the reading direction (D54).","Logogram (to bring, present, offer, go)",C
HJ AA034A,13BF6,U+13BF6,Aa34A,Aa34A,F-26-020,"A representation of two ribs, written parallel (Aa15) with the opening to the front, written on top of legs in a walking posture, feet orientated towards the reading direction (D54).","Phonemogram and classifier movement (in thm (to tread, to penetrate))",C
HJ F140,13BF7,U+13BF7,F140,F140,F-27-007,"A leg-bone with meat, with sections of meat missing at the back.",Phono-repeater,C
HJ F161,13BF8,U+13BF8,F161,F161,F-27-008,A haunch of meat with an indentation at either side of the back.,Classifier meat,C
HJ F141,13BF9,U+13BF9,F141,F141,F-27-009,"A leg bone with meat, angled with the bone forward, with a piece of meat missing at the front.",,C
HJ F142,13BFA,U+13BFA,F142,F142,F-27-010,A leg-bone with meat (F44) on top of a wide cup (W10).,Classifier offering meat,C
HJ F113,13BFB,U+13BFB,F113,F113,F-27-015,"A piece of meat, angled backwards, tapering of near the top.",Phonemogram,C
HJ F147,13BFC,U+13BFC,F147,F147,F-27-016,"A piece of meat, with a tapered end on either side.",Logogram (limb),C
HJ F046B,13BFD,U+13BFD,F46B,F46B,F-28-008,"An intestine, in a rectangular form, opening at the front, with the internal line running from the left bottom corner to the top right corner.",Phonemogram,C
HJ F144,13BFE,U+13BFE,F144,F144,F-28-009,"An intestine, with the opening to the top left (F46A), written on top of legs in a walking posture, feet orientated towards the reading direction (D54).",Phonemogram (in m-pẖr),C
HJ F144A,13BFF,U+13BFF,F144A,F144A,F-28-010,"An intestine, with the opening to the top right (F47A), written on top of legs in a walking posture, feet orientated towards the reading direction (D54).","Logogram (to go round, to turn round)",C
HJ F144B,13C00,U+13C00,F144B,F144B,F-28-011,"An intestine, with the opening to the bottom left (F47), written on top of legs in a walking posture, feet orientated towards the reading direction (D54).","Logogram (to go round, to turn round)",C
HJ AA003A,13C01,U+13C01,Aa3A,Aa3A,F-30-004,"A pustule or gland, with a forward, downward dotted line of fluid issuing forth.",Classifier scent,C
HJ AA003B,13C02,U+13C02,Aa3B,Aa3B,F-30-009,"A pustule or gland without blobs at the side, with a forward, downward dotted line of fluid issuing forth.",Classifier scent,C
Aa001C,13C03,U+13C03,,,F-31-004,"A human placenta (a circle with multiple horizontal lines written within, which do not connect to the circle.",Phonemogram,C
Aa001D,13C04,U+13C04,,,F-31-005,A circle with a broad dot inside.,Phonemogram or Classifier enemy,C
HJ D279,13C05,U+13C05,D279,D279,F-32-001,A liver.,Classifier liver,C
HJ F146,13C06,U+13C06,F146,F146,F-32-002,,,
