gardiner_code,unicode_cp,unicode,hieroglyphica_code,jsesh_code,category,description,function,core
HJ T003C,141F7,U+141F7,T3C,T3C,T-01-003,"A mace with a pear-shaped head, written vertically, with a round blade attached to the front of the mace-head.",Logogram (mace),C
T003H,141F8,U+141F8,T3A,T3A,T-01-005,,,
HJ T003B,141F9,U+141F9,T3B,T3B,T-01-006,,,
HJ T001A,141FA,U+141FA,T1A,T1A,T-01-015,,,
T117A,141FB,U+141FB,,,T-01-018,"A mace with a pear-shaped head, written vertically, with an upwards tick at the front of the mace-head.",Phonemogram,C
HJ T003F,141FC,U+141FC,T3F,T3F,T-01-019,"A mace with a pear-shaped head, written vertically, with an upwards and inwards curving line at the front of the mace-head, and an upwards tick at the back.",Phonemogram,C
HJ T117,141FD,U+141FD,T117,T117,T-01-020,"A coil of rope (V1), written behind the mace head of a mace with a pear-shaped head, written vertically (T3).",Phonemogram,C
T150,141FE,U+141FE,,,T-01-022,"A mace with a pear-shaped head, written vertically, on top of a circle, with two branches at either side of the handle.",Phonemogram/logogram (white crown),C
S014E,141FF,U+141FF,,,T-01-053,"A mace with a pear-shaped head, written vertically (T3), on top of a collar of beads (S12).",Logogram (silver),C
HJ T044,14200,U+14200,T44,T44,T-01-055,"Three maces with a pear-shaped head, written vertically (T3), arranged horizontally, on top of a standard used for carrying religious symbols, with a short vertical pole, with a loop under the horizontal beam, running over the vertical pole (R56).",Phonemogram (in (tꜣ)-ṯnn (divinity)),C
T036C,14201,U+14201,,T36,T-02-003,"A shield with a rounded top, with a boss in the center.",Classifier shield,C
HJ T049,14202,U+14202,T49,T49,T-02-004,"A round shield with a boss in the center, with a vertical line dividing the two halves of the shield.",Classifier shield,C
T049A,14203,U+14203,,,T-02-006,"An oval shield with a boss in the center, with a vertical line dividing the two halves of the shield.",Logogram (shield),C
HJ T007B,14204,U+14204,T7B,T7B,T-03-001,An axe with a round blade and a straight handle.,"Logogram (carpenter, shipwright)",C
HJ AA070,14205,U+14205,Aa70,Aa70,T-03-002,"A strainer, written horizontally, with the handle towards the front, curving downwards and backwards.","Classifier (strainer, colander)",C
