image_id,component_count,relation_count
hiero_0757,1,0
hiero_0758,2,1
hiero_0759,1,0
hiero_0760,1,0
hiero_0761,1,0
hiero_0762,1,0
hiero_0763,1,0
hiero_0764,1,0
hiero_0765,1,0
hiero_0766,1,0
hiero_0767,1,0
hiero_0768,1,0
hiero_0769,1,0
hiero_0770,1,0
hiero_0771,1,0
hiero_0772,1,0
hiero_0773,1,0
hiero_0774,1,0
hiero_0775,1,0
hiero_0776,1,0
hiero_0777,1,0
hiero_0778,1,0
hiero_0779,1,0
hiero_0780,1,0
hiero_0781,1,0
hiero_0782,1,0
hiero_0783,1,0
hiero_0784,1,0
hiero_0785,1,0
hiero_0786,1,0
hiero_0787,1,0
hiero_0788,1,0
hiero_0789,1,0
hiero_0790,1,0
hiero_0791,1,0
hiero_0792,1,0
hiero_0793,1,0
hiero_0794,1,0
hiero_0795,1,0
hiero_0796,1,0
hiero_0797,1,0
hiero_0798,1,0
hiero_0799,1,0
hiero_0800,1,0
hiero_0801,2,1
hiero_0802,1,0
hiero_0803,1,0
hiero_0804,1,0
hiero_0805,1,0
hiero_0806,1,0
hiero_0807,1,0
hiero_0808,1,0
hiero_0809,2,1
hiero_0810,2,1
hiero_0811,2,1
hiero_0812,1,0
hiero_0813,1,0
hiero_0814,3,3
hiero_0815,2,1
hiero_0816,1,0
hiero_0817,1,0
hiero_0818,1,0
hiero_0819,1,0
hiero_0820,2,1
hiero_0821,1,0
hiero_0822,2,1
hiero_0823,3,3
hiero_0824,1,0
hiero_0825,1,0
hiero_0826,1,0
hiero_0827,1,0
hiero_0828,1,0
hiero_0829,4,6
hiero_0830,5,10
hiero_0831,4,6
hiero_0832,4,6
hiero_0833,1,0
hiero_0834,1,0
hiero_0835,1,0
hiero_0836,1,0
hiero_0837,1,0
hiero_0838,1,0
hiero_0839,1,0
hiero_0840,1,0
hiero_0841,1,0
hiero_0842,1,0
hiero_0843,1,0
hiero_0844,1,0
hiero_0845,1,0
hiero_0846,1,0
hiero_0847,1,0
hiero_0848,1,0
hiero_0849,1,0
hiero_0850,1,0
hiero_0851,2,1
hiero_0852,1,0
hiero_0853,1,0
hiero_0854,1,0
hiero_0855,1,0
hiero_0856,1,0
hiero_0857,1,0
hiero_0858,1,0
hiero_0859,1,0
hiero_0860,1,0
hiero_0861,1,0
hiero_0862,1,0
hiero_0863,1,0
hiero_0864,1,0
hiero_0865,1,0
hiero_0866,1,0
hiero_0867,2,1
hiero_0868,3,3
hiero_0869,6,15
hiero_0870,5,10
hiero_0871,6,15
hiero_0872,7,21
hiero_0873,8,28
hiero_0874,12,66
hiero_0875,7,21
hiero_0876,1,0
hiero_0877,1,0
hiero_0878,2,1
hiero_0879,1,0
hiero_0880,1,0
hiero_0881,1,0
hiero_0882,1,0
hiero_0883,1,0
hiero_0884,1,0
hiero_0885,1,0
hiero_0886,2,1
hiero_0887,1,0
hiero_0888,1,0
hiero_0889,1,0
hiero_0890,1,0
hiero_0891,1,0
hiero_0892,1,0
hiero_0893,1,0
hiero_0894,1,0
hiero_0895,1,0
hiero_0896,1,0
hiero_0897,1,0
